%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.968,0.0153651,0.445587,0.15582,1,not
0.9605,0.0304921,0.457381,0.158228,1,not
0.964083,0.0301276,0.406723,0.159375,1,not
0.956833,0.029901,0.448516,0.163333,1,not
0.950917,0,0.453514,0.149641,1,not
0.96925,0,0.287746,0.164193,1,not
0.956917,0,0.282369,0.179444,0.989071,not
0.964,0,0.275429,0.16955,1,not
0.961,0,0.305079,0.170741,1,not
0.957917,0.015205,0.349716,0.155238,1,not
0.969083,0.0156304,0.265716,0.166371,1,not
0.950083,0,0.443372,0.152611,1,not
0.968083,0,0.460236,0.153224,1,not
0.957333,0.047082,0.439432,0.157028,0.968909,not
0.95025,0.332588,0.522637,0.268889,1,not
0.974417,0.9587,0.880118,0.448091,0.639715,not
0.961583,0.913504,0.384633,0.404209,1,not
0.95275,0.95275,0.355263,0.404746,1,not
0.94925,0.94925,0.376427,0.406466,1,not
0.898064,0.831044,0.549561,0.322313,0.644678,not
0.969333,0.938065,0.687914,0.347312,0.675823,not
0.957,0.9251,0.71775,0.362119,0.703818,not
0.949083,0.949083,0.675619,0.356949,0.731661,not
0.84325,0.812019,0.671477,0.423113,0.704907,not
0.96725,0.96725,0.748839,0.404454,0.8127,not
